#{"t_start": 1521428186.542729, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,21,299.108774
2.0,121,300.356256
0.0,23,300.582376
0.0,23,300.817511
0.0,23,301.06398
2.0,98,302.057926
0.0,23,302.297267
0.0,23,302.534169
2.0,104,303.626171
0.0,23,303.883111
0.0,23,304.126815
0.0,23,304.375144
0.0,23,304.625012
2.0,98,305.678719
0.0,23,305.934845
1.0,69,306.672666
1.0,72,307.444715
1.0,71,308.19884
0.0,23,308.444134
0.0,23,308.691738
2.0,96,309.619903
0.0,21,309.824669
0.0,23,310.041179
0.0,23,310.246346
2.0,98,311.295767
2.0,121,312.602613
0.0,21,312.833442
0.0,23,313.086261
1.0,72,313.860521
0.0,23,314.120822
0.0,21,314.350737
0.0,21,314.579843
0.0,23,314.830891
1.0,49,315.361658
1.0,71,316.139196
